actividades de nivel 5 leidas: 1456

== A) MISMO NOMBRE (normalizado) CON TEXTO O PRECIO DISTINTO ==
clave	variantes	precios	filas
base granular bg	Base granular BG | base granular BG	251774,33	100,283,302,320,436,455
comision topografica	Comision topografica | COMISION TOPOGRAFICA	12000000	1171,1237
planos record	Planos record | PLANOS RECORD	20000000	1218,1305
subtotal A: 3

== B) FAMILIAS PARECIDAS (mismas 2 primeras palabras) CON PRECIOS DISTINTOS ==
familia	actividad	UM	VU	veces
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2023 (ETAPA 02)	GL	18526047.91	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2023 (ETAPA 03)	GL	87898908.91	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2023 (ETAPA 07)	GL	5083377.46	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2024 (GENERAL)	GL	648418128.29	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2024 (ETAPA 01)	GL	96558876.52	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2024 (ETAPA 02)	GL	73571466.18	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2024 (ETAPA 03)	GL	349068059.94	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2024 (ETAPA 04)	GL	315256695.09	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2024 (ETAPA 05)	GL	577733222.62	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2024 (ETAPA 07)	GL	20187334.84	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2025 (GENERAL)	GL	1069320369.01	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2025 (ETAPA 01)	GL	149464998.07	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2025 (ETAPA 02)	GL	113882425.38	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2025 (ETAPA 03)	GL	575655692.48	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2025 (ETAPA 04)	GL	519896638.94	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2025 (ETAPA 05)	GL	952752361.24	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2025 (ETAPA 07)	GL	33291370.8	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2026 (GENERAL)	GL	1283533093.27	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2026 (ETAPA 03)	GL	677241738.09	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2026 (ETAPA 04)	GL	624045478.33	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2026 (ETAPA 05)	GL	1143613477.11	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2026 (ETAPA 07)	GL	39960499.57	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2026 (ETAPA 08)	GL	1319893070.1	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2026 (ETAPA 09)	GL	555291529.37	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2027 (GENERAL)	GL	1546351957	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2027 (ETAPA 03)	GL	815915142.79	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2027 (ETAPA 04)	GL	751826307.97	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2027 (ETAPA 05)	GL	1377782113.81	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2027 (ETAPA 07)	GL	48142893.26	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2027 (ETAPA 08)	GL	1590157077.12	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2027 (ETAPA 09)	GL	668994159.68	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2028 (GENERAL)	GL	1765267708.44	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2028 (ETAPA 04)	GL	858261728.71	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2028 (ETAPA 05)	GL	1572833573.72	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2028 (ETAPA 07)	GL	54958442.34	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2028 (ETAPA 08)	GL	1815274282.73	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2028 (ETAPA 09)	GL	763703102.56	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2029 (GENERAL)	GL	2001282698.75	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2029 (ETAPA 04)	GL	973010688.67	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2029 (ETAPA 05)	GL	1783120262.19	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2029 (ETAPA 07)	GL	62306345.54	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2029 (ETAPA 08)	GL	2057975115.13	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2029 (ETAPA 09)	GL	865809643.96	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2030 (GENERAL)	GL	2260987718.88	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2030 (ETAPA 04)	GL	1099277587.72	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2030 (ETAPA 05)	GL	2014514499.43	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2030 (ETAPA 07)	GL	70391795.3	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2030 (ETAPA 08)	GL	2325037069.46	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2030 (ETAPA 09)	GL	978165140.34	1
instalacion banca	Suministro e instalación de banca en concreto con espaldar M-30	UN	1148590.21	1
instalacion banca	Suministro e instalación de banca L=2,06m (CIO106682)	UN	2126100.68	1
instalacion banco	Suministro e instalación de banco de ductos PVC-TDP 4Ø6"	ML	347042	1
instalacion banco	Suministro e instalación de banco de ductos PVC-TDP 6Ø6"	ML	464651	1
instalacion banco	Suministro e instalación de banco de ductos PVC-TDP 12Ø6"	ML	848000	1
instalacion banco	Suministro e instalación de banco de ductos PVC-TDP 9Ø6"	ML	921310	1
instalacion poste	Suministro e instalación poste de concreto 10 m. Tipo recto AP  (Incluye ahoyada, hincada y plomada)	UN	2071401.96	1
instalacion poste	Suministro e instalación poste de concreto 12 m. Tipo recto AP  (Incluye ahoyada, hincada y plomada)	UN	2478929.42	1
instalacion poste	Suministro e instalación poste de concreto 14 m. Tipo recto AP  (Incluye ahoyada, hincada y plomada)	UN	3500000	1
instalacion provisional	INSTALACIÓN PROVISIONAL DE ACUEDUCTO (SUMINISTRO CARROTANQUE)	MES	600000	1
instalacion provisional	INSTALACIÓN PROVISIONAL DE ENERGÍA (PLANTA + COMBUSTIBLE)	MES	6000000	1
instalacion transformador	Suministro e instalación transformador trifásico tipo aceite 30 kVA, 11,4 kV / 208-120 V	UN	42400000	1
instalacion transformador	Suministro e instalación transformador trifásico tipo aceite 45 kVA, 11,4 kV / 208-120 V	UN	46640000	1
instalacion transformador	Suministro e instalación transformador trifásico tipo aceite 112,5 kVA, 11,4 kV / 208-120 V	UN	58300000	1
