NOMBRE	X	Y	ATTS
A Tapon	83030.582	95872.925	NODO=260;DIAMETRO=2;
A Tapon	82967.397	95798.121	NODO=255;DIAMETRO=2;
A Tapon	82869.405	95679.173	NODO=249;DIAMETRO=2;
A Codo22.5	82843.295	95656.594	NODO=242;DIAMETRO=8;
A Tapon	82852.566	95585.271	NODO=238;DIAMETRO=3;
A Codo22.5	82898.459	95565.32	NODO=231;DIAMETRO=12;
CODO90	82999.281	95790.526	NODO=215;DIAM=6;
A Codo22.5	83138.791	95954.65	NODO=206;DIAMETRO=6;
A Codo22.5	83149.344	95957.881	NODO=202;DIAMETRO=6;
CODO90	83089.323	96000.679	NODO=192;DIAM=8;
A Buje	83442.962	95964.969	NODO=174;DIAM=6x4;
A Codo22.5	83419.82	95916.762	NODO=168;DIAMETRO=06;
A Codo22.5	83325.087	95933.83	NODO=159;DIAMETRO=8;
A Buje	83542.128	96198.293	NODO=143;DIAM=6x4;
A Tapon	83528.015	96229.075	NODO=139;DIAMETRO=1;
CODO90	83552.208	96262.657	NODO=134;DIAM=6;
A Tapon	83596.657	96249.813	NODO=133;DIAMETRO=6;
A Tapon	83597.951	96220.564	NODO=126;DIAMETRO=2;
A Tapon	83596.841	96166.937	NODO=123;DIAMETRO=2;
A Buje	83587.37	96167.229	NODO=122;DIAM=4x2;
A Tapon	83598.944	96014.145	NODO=108;DIAMETRO=3;
A Codo22.5	83590.172	95949.439	NODO=102;DIAMETRO=8;
A Codo22.5	83586.723	95928.513	NODO=101;DIAMETRO=8;
CODO90	83551.089	95866.532	NODO=99;DIAM=8;
A Codo22.5	83614.185	95853.841	NODO=86;DIAMETRO=6;
A Codo22.5	83616.293	95857.61	NODO=85;DIAMETRO=6;
A Tee	83614.937	95867.526	NODO=81;DIAM=6x4;
A Buje	83616.352	95868.653	NODO=82;DIAM=4x2;
A Tapon	83613.637	95869.192	NODO=80;DIAMETRO=6;
A Tapon	83620.179	95871.863	NODO=83;DIAMETRO=2;
A Tapon	83507.817	95696.438	NODO=62;DIAMETRO=2;
A Buje	83498.6	95695.361	NODO=61;DIAM=4x2;
A Tapon	83521.677	95631.231	NODO=57;DIAMETRO=2;
A Buje	83512.987	95627.255	NODO=56;DIAM=4x2;
CODO90	83533.33	95597.559	NODO=49;DIAM=12;
A Codo22.5	83535.741	95592.056	NODO=48;DIAMETRO=12;
A Tapon	83627.593	95587.848	NODO=47;DIAMETRO=8;
A Buje	83328.079	95598.308	NODO=36;DIAM=6x4;
