CLASE	NOMBRE_O_TEXTO	X	Y	ROT	CAPA
INSERT	CODO90	82941.277	95517.455	4.7423	REDMENOR_ACUEDPROY
INSERT	A Buje	83538.728	95298.725	0.8795	0
INSERT	A Buje	83480.668	95347.826	0.8795	0
INSERT	A Buje	83412.319	95405.628	0.8795	0
INSERT	A Buje	83609.839	95540.259	4.7368	0
INSERT	A Buje	83464.714	95537.787	4.7368	0
INSERT	A Buje	83374.937	95535.943	4.7368	0
INSERT	A Buje	82980.042	95528.498	4.7368	0
INSERT	A Buje	83156.407	95395.528	3.9926	0
INSERT	A Buje	82976.439	95337.323	0.8908	0
INSERT	A Buje	83099.504	95474.415	3.0642	0
INSERT	CODO90	83155.342	95956.876	4.4352	0
INSERT	A Codo22.5	83549.786	95874.356	2.9906	REDMENOR_ACUEDPROY
INSERT	A Buje	83555.939	95863.799	5.7623	0
INSERT	A Buje	82730.767	95681.273	4.3498	0
INSERT	A Buje	82856.206	95587.928	3.7655	0
INSERT	A Buje	83590.187	96013.855	0.0274	0
INSERT	A Codo22.5	83114.872	95216.031	2.4392	0
INSERT	A Codo22.5	83117.056	95211.786	5.5801	0
INSERT	A Codo22.5	83109.998	95437.611	2.8268	0
INSERT	A Tapon	83152.605	95391.165	0.8394	0
INSERT	CODO90	83221.854	95333.846	2.4436	0
INSERT	A Tapon	83314.483	95263.716	2.451	0
INSERT	A Tapon	83197.045	95281.607	2.448	0
INSERT	A Buje	83195.16	95283.236	5.5927	0
INSERT	A Tapon	83119.129	95188.649	2.448	0
INSERT	A Buje	83117.243	95190.277	5.5927	0
INSERT	A Tapon	83150.52	95070.204	2.4485	0
INSERT	A Tapon	83078.419	95124.128	0.8865	0
INSERT	A Buje	83080.316	95126.429	4.0141	0
INSERT	A Buje	83072.715	95135.419	5.587	0
INSERT	A Tapon	83021.113	95167.444	0.8865	0
INSERT	A Buje	83024.358	95171.297	4.0141	0
INSERT	A Tapon	82976.316	95209.777	0.8865	0
INSERT	A Buje	82977.19	95210.836	4.0099	0
INSERT	A Tapon	82983.562	95346.158	4.0129	0
INSERT	A Tapon	82977.501	95325.149	0.8713	0
INSERT	A Buje	82979.089	95327.079	4.0298	0
INSERT	A Tapon	83077.087	95345.647	2.6568	0
INSERT	A Tapon	83096.319	95474.67	6.221	0
INSERT	A Codo22.5	83627.417	95304.19	4.039	0
INSERT	A Tapon	83540.299	95300.644	4.0286	0
INSERT	A Tapon	83482.234	95349.749	4.0286	0
INSERT	A Tapon	83413.875	95407.558	4.0286	0
INSERT	A Tapon	83277.761	95326.071	4.0248	0
INSERT	A Buje	83275.688	95323.478	0.8623	0
INSERT	A Buje	83322.713	95281.387	2.441	0
INSERT	A Tapon	83334.661	95277.76	4.0248	0
INSERT	A Buje	83332.392	95275.025	0.8623	0
INSERT	A Tapon	83393.685	95227.64	4.0248	0
INSERT	A Buje	83391.566	95225.08	0.8623	0
INSERT	A Tapon	83452.245	95177.916	4.0248	0
INSERT	A Buje	83450.101	95175.379	0.8623	0
INSERT	A Tapon	83535.637	95107.106	4.0248	0
INSERT	A Buje	83533.492	95104.569	0.8623	0
INSERT	A Tapon	83623.638	95013.189	0.9277	0
INSERT	A Tapon	83698.287	95195.425	3.174	0
INSERT	A Buje	83627.29	95408.273	0.4979	0
INSERT	A Tapon	83635.431	95412.736	3.659	0
INSERT	CODO90	83565.462	95534.156	5.1762	0
INSERT	A Codo11.25	83563.951	95538.258	4.942	0
INSERT	A Tapon	83620.475	95542.124	3.1461	0
INSERT	A Tapon	83609.88	95537.074	1.608	0
INSERT	A Tapon	83464.848	95534.607	1.608	0
INSERT	A Tapon	83375.037	95532.762	1.608	0
INSERT	A Tapon	83163.254	95528.532	1.5315	0
INSERT	A Tapon	82980.152	95525.309	1.5686	0
INSERT	A Tapon	82802.093	95211.773	0.7953	0
INSERT	A Codo22.5	82916.948	95382.419	2.8336	0
INSERT	CODO90	82925.004	95388.486	5.5821	0
INSERT	A Codo22.5	82918.541	95393.936	2.8336	0
INSERT	A Tapon	82784.492	95223.292	0.8786	0
INSERT	A Buje	82893.465	95387.95	4.4323	0
INSERT	A Tapon	82893.097	95422.029	6.0595	0
INSERT	Union	83520.648	95793.607	1.1206	0
INSERT	Union	83523.686	95800.008	1.1206	0
INSERT	A Tapon	83503.307	95735.08	1.4152	0
INSERT	A Tee	83589.131	95711.959	3.0456	0
INSERT	A Tee	83497.061	95721.046	4.5714	0
INSERT	A Tapon	83594.825	95711.393	3.0499	0
INSERT	CODO90	83499.653	95739.312	1.3931	0
INSERT	A Tee	83503.966	95738.471	1.3782	0
INSERT	A Codo11.25	83495.567	95710.522	4.7678	0
INSERT	Union	83312.66	95953.484	0.7431	0
