ORIGEN	CAPITULO	SUBCAPITULO	CODIGO	NOMBRE	UM	VALOR
Demanda	ACTIVIDADES CONSERVACIÓN	ACTIVIDADES CONSERVACIÓN	8680	RECONSTRUCCIÓN MALLA VIAL INTERMEDIA URBANA DE PAVIMENTO FLEXIBLE e=0.17 (NO INCLUYE SARDINEL)	M2	551764
Demanda	ACTIVIDADES CONSERVACIÓN	ACTIVIDADES CONSERVACIÓN	8681	RECONSTRUCCIÓN MALLA VIAL INTERMEDIA URBANA DE PAVIMENTO HIDRÁULICO MR 45 e=0.20 (NO INCLUYE SARDINEL)	M2	604814
Demanda	ACTIVIDADES CONSERVACIÓN	ACTIVIDADES CONSERVACIÓN	8683	MANTENIMIENTO RUTINARIO MALLA VIAL LOCAL URBANA EN CONCRETO HIDRÁULICO	M2	13458
Demanda	ACTIVIDADES CONSERVACIÓN	ACTIVIDADES CONSERVACIÓN	8684	MANTENIMIENTO PERIÓDICO MALLA VIAL LOCAL URBANA EN CONCRETO ASFÁLTICO HORARIO NOCTURNO (INCLUYE 5% BACHEO Y 95% FRESADO + REPOSICIÓN DE CARPETA)	M2	111663
Demanda	ACTIVIDADES CONSERVACIÓN	ACTIVIDADES CONSERVACIÓN	8685	MANTENIMIENTO PERIÓDICO MALLA VIAL LOCAL URBANA EN CONCRETO HIDRÁULICO HORARIO NOCTURNO (incluye limpieza pozos, sellado de juntas y reposición de losas)	M2	251949
Demanda	ACTIVIDADES CONSERVACIÓN	ACTIVIDADES CONSERVACIÓN	8686	REHABILITACIÓN MALLA VIAL LOCAL URBANA DE PAVIMENTO FLEXIBLE e=0.17 (NO INCLUYE SARDINEL)	M2	398659
Demanda	ACTIVIDADES CONSERVACIÓN	ACTIVIDADES CONSERVACIÓN	8687	REHABILITACIÓN MALLA VIAL LOCAL URBANA DE PAVIMENTO HIDRÁULICO MR 45 e=0.20 (NO INCLUYE SARDINEL)	M2	370429
Demanda	ACTIVIDADES CONSERVACIÓN	ACTIVIDADES CONSERVACIÓN	8688	RECONSTRUCCIÓN MALLA VIAL LOCAL URBANA DE PAVIMENTO FLEXIBLE e=0.17 (NO INCLUYE SARDINEL)	M2	508277
Demanda	ACTIVIDADES CONSERVACIÓN	ACTIVIDADES CONSERVACIÓN	8689	RECONSTRUCCIÓN MALLA VIAL LOCAL URBANA DE PAVIMENTO HIDRÁULICO MR 45 e=0.20 (NO INCLUYE SARDINEL)	M2	445876
Demanda	ACTIVIDADES CONSERVACIÓN	ACTIVIDADES CONSERVACIÓN	8690	MANTENIMIENTO RUTINARIO MALLA VIAL RURAL - AFIRMADO NO PRINCIPAL - EN CONCRETO ASFÁLTICO	M2	30516
Demanda	ACTIVIDADES CONSERVACIÓN	ACTIVIDADES CONSERVACIÓN	8691	MANTENIMIENTO PERIÓDICO MALLA VIAL RURAL - AFIRMADO NO PRINCIPAL - EN CONCRETO ASFÁLTICO HORARIO NOCTURNO (INCLUYE 5% BACHEO Y 95% FRESADO + REPOSICIÓN DE CARPETA)	M2	55976
Demanda	ACTIVIDADES CONSERVACIÓN	ACTIVIDADES CONSERVACIÓN	8692	REHABILITACIÓN MALLA VIAL RURAL- AFIRMADO NO PRINCIPAL - DE PAVIMENTO FLEXIBLE e=0.17 (NO INCLUYE SARDINEL)	M2	74146
Demanda	ACTIVIDADES CONSERVACIÓN	ACTIVIDADES CONSERVACIÓN	8693	MANTENIMIENTO RUTINARIO MALLA VIAL RURAL - AFIRMADO PRINCIPAL - EN CONCRETO ASFÁLTICO	M2	30298
Demanda	ACTIVIDADES CONSERVACIÓN	ACTIVIDADES CONSERVACIÓN	8694	MANTENIMIENTO PERIÓDICO MALLA VIAL RURAL - AFIRMADO PRINCIPAL - EN CONCRETO ASFÁLTICO HORARIO NOCTURNO (INCLUYE 5% BACHEO Y 95% FRESADO + REPOSICIÓN DE CARPETA)	M2	59254
Demanda	ACTIVIDADES CONSERVACIÓN	ACTIVIDADES CONSERVACIÓN	8695	REHABILITACIÓN MALLA VIAL RURAL - AFIRMADO PRINCIPAL - DE PAVIMENTO FLEXIBLE e=0.17 (NO INCLUYE SARDINEL)	M2	74146
Demanda	ACTIVIDADES CONSERVACIÓN	ACTIVIDADES CONSERVACIÓN	8697	MANTENIMIENTO RUTINARIO MALLA VIAL RURAL NO PRINCIPAL EN CONCRETO HIDRÁULICO	M2	20338
Demanda	ACTIVIDADES CONSERVACIÓN	ACTIVIDADES CONSERVACIÓN	8698	MANTENIMIENTO PERIÓDICO MALLA VIAL RURAL NO PRINCIPAL EN CONCRETO ASFÁLTICO HORARIO NOCTURNO (INCLUYE 5% BACHEO Y 95% FRESADO + REPOSICIÓN DE CARPETA)	M2	62653
