ORIGEN	GRUPO	CODIGO	NOMBRE	UM	PRECIO
Demanda	SEÑALES, BARRERAS Y DEMARCACIÓN VIAL	10629	SEÑAL CICLORUTA SIC-02, TABLERO 0.80M X 0.80M. EN LÁMINA GALVANIZADA C-16. INCLUYE SOPORTE EN TUBO REDONDO 2" EN REFLECTIVO CON PINTURA ELECTROSTÁTICA	UN	465521
Demanda	SEÑALES, BARRERAS Y DEMARCACIÓN VIAL	10634	SEÑAL VERTICAL SR 90x30 , INCLUYE POSTE. SUMINISTRO E INSTALACIÓN	UN	489804
Demanda	SEÑALES, BARRERAS Y DEMARCACIÓN VIAL	10635	SEÑAL VERTICAL SR PARA CICLORUTA D=0.45M. INCLUYE POSTE	UN	440667
Demanda	SEÑALES, BARRERAS Y DEMARCACIÓN VIAL	10636	SEÑAL VERTICAL GRUPO I (60X60CM) CON PLAQUETA. INCLUYE POSTE. SUMINISTRO E INSTALACIÓN	UN	559968
Demanda	TUBERIAS Y ACCESORIOS DE PVC - ACUEDUCTO	10639	TEE PVC U.M. D= 4" x 4"	UN	262920
Demanda	TUBERIAS Y ACCESORIOS DE PVC - ACUEDUCTO	10640	TEE REDUCIDA PVC U.M. D= 6" x 3"	UN	1901033
Demanda	TUBERIAS Y ACCESORIOS DE PVC - ACUEDUCTO	10641	TEE REDUCIDA PVC U.M. D= 6" x 4"	UN	1901033
Demanda	TUBERIAS Y ACCESORIOS DE PVC - ACUEDUCTO	10642	TEE PVC U.M. D= 6" x 6"	UN	726863
Demanda	TUBERIAS Y ACCESORIOS DE PVC - ACUEDUCTO	10643	TEE REDUCIDA PVC U.M. D= 8" x 6"	UN	3283968
Demanda	TUBERIAS Y ACCESORIOS DE PVC - ACUEDUCTO	10644	TEE PVC U.M. D= 8" x 8"	UN	3359067
Demanda	TUBERÍA Y ACCESORIOS DE PVC PARA ALCANTARILLADO	10645	TUBERIA PVC U.M. EXT CORRUGADO/INT LISO D=24". NORMA NTC 3722-3	ML	658308
Demanda	TUBERÍA Y ACCESORIOS DE PVC PARA ALCANTARILLADO	10646	TUBERIA PVC U.M. EXT CORRUGADO/INT LISO D=27". NORMA NTC 3722-3	ML	793692
Demanda	TUBERÍA Y ACCESORIOS DE PVC PARA ALCANTARILLADO	10647	TUBERIA PVC U.M. EXT CORRUGADO/INT LISO D=30". NORMA NTC 3722-3	ML	979846
Demanda	TUBERÍA Y ACCESORIOS DE PVC PARA ALCANTARILLADO	10648	TUBERIA PVC U.M. EXT CORRUGADO/INT LISO D=36". NORMA NTC 3722-3	ML	1818385
Demanda	TUBERÍA Y ACCESORIOS DE PVC PARA ALCANTARILLADO	10649	TUBERIA PVC U.M. EXT CORRUGADO/INT LISO D=39". NORMA NTC 3722-3	ML	2435231
Demanda	TUBERÍA Y ACCESORIOS DE PVC PARA ALCANTARILLADO	10650	TUBERIA PVC U.M. EXT CORRUGADO/INT LISO D=48". NORMA NTC 3722-3	ML	3756923
